instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
160,2011-06-09,2,0,6,0,4,1,2,41.0,50.0,56.833299999999994,14.988299999999999,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,41.0,50.0,60.5,14.0554,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,41.0,50.0,65.45830000000001,15.485,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,41.0,50.0,74.7917,16.3567,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,41.0,50.0,49.4583,30.535,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,41.0,50.0,50.708299999999994,26.9283,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,41.0,50.0,47.1667,16.7912,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,41.0,50.0,68.8333,20.6471,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,41.0,50.0,73.5833,14.3029,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,41.0,50.0,67.0417,11.9408,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,41.0,50.0,66.6667,10.2,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,41.0,50.0,74.625,15.5475,699,3311,4010
