instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1850,2011-03-22,2,0,3,19,0,2,1,2,41.0,43.94,54.0,25.369999999999997,22,142,164
1851,2011-03-22,2,0,3,20,0,2,1,2,41.0,43.94,54.0,35.82,19,116,135
1852,2011-03-22,2,0,3,21,0,2,1,2,41.0,42.42,54.0,28.360000000000003,24,63,87
1853,2011-03-22,2,0,3,22,0,2,1,2,40.0,40.910000000000004,57.99999999999999,25.369999999999997,13,57,70
1854,2011-03-22,2,0,3,23,0,2,1,2,40.0,40.910000000000004,57.99999999999999,25.369999999999997,4,28,32
1855,2011-03-23,2,0,3,0,0,3,1,3,36.0,34.849999999999994,71.0,22.39,3,8,11
1856,2011-03-23,2,0,3,1,0,3,1,3,34.0,31.819999999999997,76.0,22.39,0,7,7
1857,2011-03-23,2,0,3,2,0,3,1,3,34.0,31.819999999999997,76.0,22.39,1,1,2
1858,2011-03-23,2,0,3,3,0,3,1,2,34.0,31.819999999999997,76.0,25.369999999999997,0,3,3
1859,2011-03-23,2,0,3,5,0,3,1,3,32.0,31.819999999999997,87.0,19.400000000000002,0,10,10
1860,2011-03-23,2,0,3,6,0,3,1,2,34.0,31.819999999999997,87.0,25.369999999999997,1,43,44
1861,2011-03-23,2,0,3,7,0,3,1,2,32.0,30.3,93.0,22.39,7,111,118
1862,2011-03-23,2,0,3,8,0,3,1,2,32.0,31.819999999999997,87.0,19.400000000000002,14,247,261
1863,2011-03-23,2,0,3,9,0,3,1,2,32.0,30.3,81.0,25.369999999999997,8,174,182
1864,2011-03-23,2,0,3,10,0,3,1,2,34.0,31.819999999999997,81.0,28.360000000000003,15,60,75
1865,2011-03-23,2,0,3,11,0,3,1,2,34.0,33.33,87.0,19.400000000000002,18,53,71
1866,2011-03-23,2,0,3,12,0,3,1,2,34.0,31.819999999999997,87.0,22.39,14,73,87
1867,2011-03-23,2,0,3,13,0,3,1,3,34.0,33.33,87.0,13.43,14,94,108
1868,2011-03-23,2,0,3,14,0,3,1,2,36.0,36.36,87.0,10.45,13,71,84
1869,2011-03-23,2,0,3,15,0,3,1,2,38.0,39.39,82.0,22.39,11,74,85
1870,2011-03-23,2,0,3,16,0,3,1,2,40.0,40.910000000000004,76.0,22.39,13,123,136
1871,2011-03-23,2,0,3,17,0,3,1,2,40.0,40.910000000000004,76.0,22.39,28,245,273
1872,2011-03-23,2,0,3,18,0,3,1,3,38.0,39.39,82.0,25.369999999999997,20,218,238
1873,2011-03-23,2,0,3,19,0,3,1,3,38.0,39.39,82.0,25.369999999999997,12,147,159
1874,2011-03-23,2,0,3,20,0,3,1,3,36.0,30.3,87.0,64.18,3,72,75
1875,2011-03-23,2,0,3,21,0,3,1,3,32.0,28.79,100.0,41.79,0,22,22
1876,2011-03-23,2,0,3,22,0,3,1,2,32.0,31.819999999999997,93.0,16.42,6,38,44
1877,2011-03-23,2,0,3,23,0,3,1,3,32.0,33.33,90.0,0.0,2,24,26
1878,2011-03-24,2,0,3,0,0,4,1,2,32.0,30.3,93.0,22.39,0,11,11
1879,2011-03-24,2,0,3,1,0,4,1,2,30.0,28.79,100.0,22.39,0,3,3
1880,2011-03-24,2,0,3,2,0,4,1,2,30.0,28.79,100.0,25.369999999999997,0,6,6
1881,2011-03-24,2,0,3,3,0,4,1,2,28.000000000000004,27.27,100.0,19.400000000000002,1,0,1
1882,2011-03-24,2,0,3,4,0,4,1,2,28.000000000000004,27.27,100.0,19.400000000000002,0,1,1
1883,2011-03-24,2,0,3,5,0,4,1,2,28.000000000000004,27.27,93.0,22.39,1,8,9
1884,2011-03-24,2,0,3,6,0,4,1,2,28.000000000000004,27.27,93.0,22.39,0,41,41
1885,2011-03-24,2,0,3,7,0,4,1,3,26.0,25.759999999999998,100.0,22.39,2,106,108
1886,2011-03-24,2,0,3,8,0,4,1,3,26.0,22.73,100.0,29.849999999999998,4,120,124
1887,2011-03-24,2,0,3,9,0,4,1,2,26.0,25.759999999999998,93.0,22.39,3,94,97
1888,2011-03-24,2,0,3,10,0,4,1,2,26.0,22.73,93.0,32.84,10,55,65
1889,2011-03-24,2,0,3,11,0,4,1,2,30.0,27.27,81.0,29.849999999999998,10,61,71
1890,2011-03-24,2,0,3,12,0,4,1,2,30.0,27.27,70.0,32.84,12,82,94
1891,2011-03-24,2,0,3,13,0,4,1,2,32.0,30.3,70.0,22.39,11,90,101
1892,2011-03-24,2,0,3,14,0,4,1,2,30.0,30.3,70.0,13.43,17,66,83
1893,2011-03-24,2,0,3,15,0,4,1,2,30.0,28.79,70.0,25.369999999999997,13,77,90
1894,2011-03-24,2,0,3,16,0,4,1,2,30.0,28.79,65.0,22.39,6,78,84
1895,2011-03-24,2,0,3,17,0,4,1,2,30.0,28.79,70.0,22.39,12,221,233
1896,2011-03-24,2,0,3,18,0,4,1,2,30.0,27.27,61.0,29.849999999999998,17,197,214
1897,2011-03-24,2,0,3,19,0,4,1,1,30.0,27.27,56.00000000000001,38.81,16,122,138
1898,2011-03-24,2,0,3,20,0,4,1,1,28.000000000000004,25.759999999999998,61.0,28.360000000000003,8,110,118
1899,2011-03-24,2,0,3,21,0,4,1,1,26.0,25.759999999999998,65.0,22.39,11,67,78
1900,2011-03-24,2,0,3,22,0,4,1,1,26.0,25.759999999999998,65.0,16.42,3,59,62
1901,2011-03-24,2,0,3,23,0,4,1,1,24.0,22.73,65.0,19.400000000000002,9,24,33
1902,2011-03-25,2,0,3,0,0,5,1,1,24.0,22.73,60.0,19.400000000000002,1,17,18
1903,2011-03-25,2,0,3,1,0,5,1,1,20.0,21.21,69.0,16.42,0,5,5
1904,2011-03-25,2,0,3,2,0,5,1,1,20.0,19.7,69.0,22.39,0,5,5
1905,2011-03-25,2,0,3,3,0,5,1,1,20.0,22.73,69.0,10.45,0,2,2
1906,2011-03-25,2,0,3,4,0,5,1,1,18.0,21.21,74.0,10.45,3,2,5
1907,2011-03-25,2,0,3,5,0,5,1,1,18.0,19.7,74.0,16.42,0,9,9
1908,2011-03-25,2,0,3,6,0,5,1,1,18.0,18.18,74.0,22.39,0,32,32
1909,2011-03-25,2,0,3,7,0,5,1,1,20.0,18.18,59.0,35.82,4,100,104
1910,2011-03-25,2,0,3,8,0,5,1,1,22.0,21.21,51.0,28.360000000000003,9,228,237
1911,2011-03-25,2,0,3,9,0,5,1,1,24.0,21.21,48.0,29.849999999999998,16,150,166
1912,2011-03-25,2,0,3,10,0,5,1,1,26.0,25.759999999999998,48.0,0.0,15,53,68
1913,2011-03-25,2,0,3,11,0,5,1,1,30.0,28.79,45.0,28.360000000000003,17,58,75
1914,2011-03-25,2,0,3,12,0,5,1,1,32.0,30.3,42.0,25.369999999999997,37,108,145
1915,2011-03-25,2,0,3,13,0,5,1,1,32.0,31.819999999999997,39.0,19.400000000000002,34,104,138
1916,2011-03-25,2,0,3,14,0,5,1,1,36.0,33.33,32.0,32.84,30,103,133
1917,2011-03-25,2,0,3,15,0,5,1,2,34.0,31.819999999999997,36.0,25.369999999999997,43,79,122
1918,2011-03-25,2,0,3,16,0,5,1,2,34.0,30.3,34.0,29.849999999999998,23,127,150
1919,2011-03-25,2,0,3,17,0,5,1,2,32.0,28.79,36.0,35.82,23,202,225
1920,2011-03-25,2,0,3,18,0,5,1,1,30.0,28.79,39.0,25.369999999999997,8,190,198
1921,2011-03-25,2,0,3,19,0,5,1,2,30.0,28.79,36.0,28.360000000000003,9,126,135
1922,2011-03-25,2,0,3,20,0,5,1,2,30.0,30.3,39.0,13.43,6,75,81
1923,2011-03-25,2,0,3,21,0,5,1,2,30.0,30.3,39.0,16.42,11,64,75
1924,2011-03-25,2,0,3,22,0,5,1,2,28.000000000000004,25.759999999999998,38.0,32.84,3,40,43
1925,2011-03-25,2,0,3,23,0,5,1,2,26.0,24.240000000000002,38.0,28.360000000000003,8,31,39
1926,2011-03-26,2,0,3,0,0,6,0,2,26.0,24.240000000000002,38.0,28.360000000000003,3,25,28
1927,2011-03-26,2,0,3,1,0,6,0,1,26.0,22.73,38.0,29.849999999999998,3,24,27
1928,2011-03-26,2,0,3,2,0,6,0,1,22.0,21.21,44.0,22.39,4,21,25
1929,2011-03-26,2,0,3,3,0,6,0,1,20.0,19.7,47.0,19.400000000000002,2,7,9
1930,2011-03-26,2,0,3,4,0,6,0,1,22.0,21.21,44.0,22.39,2,4,6
1931,2011-03-26,2,0,3,5,0,6,0,1,20.0,19.7,51.0,19.400000000000002,0,8,8
1932,2011-03-26,2,0,3,6,0,6,0,1,18.0,18.18,55.00000000000001,19.400000000000002,2,8,10
1933,2011-03-26,2,0,3,7,0,6,0,1,20.0,19.7,51.0,19.400000000000002,18,23,41
1934,2011-03-26,2,0,3,8,0,6,0,1,22.0,22.73,44.0,13.43,24,42,66
1935,2011-03-26,2,0,3,9,0,6,0,1,24.0,24.240000000000002,41.0,13.43,32,68,100
1936,2011-03-26,2,0,3,10,0,6,0,1,26.0,25.759999999999998,41.0,16.42,32,93,125
1937,2011-03-26,2,0,3,11,0,6,0,1,28.000000000000004,27.27,38.0,16.42,75,93,168
1938,2011-03-26,2,0,3,12,0,6,0,1,30.0,28.79,36.0,19.400000000000002,98,129,227
1939,2011-03-26,2,0,3,13,0,6,0,1,32.0,30.3,33.0,22.39,94,145,239
1940,2011-03-26,2,0,3,14,0,6,0,1,34.0,31.819999999999997,28.999999999999996,22.39,93,123,216
1941,2011-03-26,2,0,3,15,0,6,0,1,34.0,33.33,28.999999999999996,19.400000000000002,110,109,219
1942,2011-03-26,2,0,3,16,0,6,0,1,34.0,33.33,23.0,19.400000000000002,118,130,248
1943,2011-03-26,2,0,3,17,0,6,0,1,32.0,30.3,24.0,22.39,102,101,203
1944,2011-03-26,2,0,3,18,0,6,0,2,32.0,31.819999999999997,21.0,16.42,64,89,153
1945,2011-03-26,2,0,3,19,0,6,0,2,28.000000000000004,27.27,45.0,25.369999999999997,45,93,138
1946,2011-03-26,2,0,3,20,0,6,0,2,28.000000000000004,27.27,45.0,25.369999999999997,18,67,85
1947,2011-03-26,2,0,3,21,0,6,0,2,26.0,25.759999999999998,44.0,19.400000000000002,15,36,51
1948,2011-03-26,2,0,3,22,0,6,0,2,28.000000000000004,27.27,41.0,22.39,17,46,63
1949,2011-03-26,2,0,3,23,0,6,0,2,26.0,24.240000000000002,44.0,28.360000000000003,10,31,41
1950,2011-03-27,2,0,3,0,0,0,0,2,26.0,25.759999999999998,41.0,16.42,5,26,31
1951,2011-03-27,2,0,3,1,0,0,0,2,24.0,22.73,52.0,19.400000000000002,3,17,20
1952,2011-03-27,2,0,3,2,0,0,0,3,22.0,22.73,55.00000000000001,19.400000000000002,6,15,21
1953,2011-03-27,2,0,3,3,0,0,0,3,20.0,19.7,69.0,22.39,0,14,14
1954,2011-03-27,2,0,3,4,0,0,0,3,18.0,19.7,74.0,16.42,1,5,6
1955,2011-03-27,2,0,3,6,0,0,0,3,16.0,18.18,86.0,13.43,0,2,2
1956,2011-03-27,2,0,3,7,0,0,0,3,16.0,16.669999999999998,86.0,16.42,0,7,7
1957,2011-03-27,2,0,3,8,0,0,0,1,20.0,19.7,69.0,22.39,6,8,14
1958,2011-03-27,2,0,3,9,0,0,0,1,22.0,22.73,55.00000000000001,13.43,17,37,54
1959,2011-03-27,2,0,3,10,0,0,0,2,22.0,21.21,55.00000000000001,22.39,27,59,86
1960,2011-03-27,2,0,3,11,0,0,0,2,24.0,24.240000000000002,48.0,16.42,23,85,108
1961,2011-03-27,2,0,3,12,0,0,0,2,26.0,25.759999999999998,44.0,22.39,43,120,163
1962,2011-03-27,2,0,3,13,0,0,0,1,30.0,28.79,39.0,22.39,47,100,147
1963,2011-03-27,2,0,3,14,0,0,0,1,32.0,31.819999999999997,36.0,16.42,61,103,164
1964,2011-03-27,2,0,3,15,0,0,0,1,32.0,30.3,36.0,28.360000000000003,61,111,172
1965,2011-03-27,2,0,3,16,0,0,0,1,34.0,33.33,34.0,0.0,45,98,143
1966,2011-03-27,2,0,3,17,0,0,0,1,32.0,30.3,31.0,25.369999999999997,50,109,159
1967,2011-03-27,2,0,3,18,0,0,0,1,30.0,28.79,33.0,19.400000000000002,32,105,137
1968,2011-03-27,2,0,3,19,0,0,0,1,30.0,28.79,31.0,22.39,23,80,103
1969,2011-03-27,2,0,3,20,0,0,0,1,28.000000000000004,27.27,36.0,16.42,7,50,57
1970,2011-03-27,2,0,3,21,0,0,0,1,26.0,25.759999999999998,41.0,16.42,7,29,36
1971,2011-03-27,2,0,3,22,0,0,0,1,26.0,25.759999999999998,41.0,16.42,5,25,30
1972,2011-03-27,2,0,3,23,0,0,0,1,26.0,25.759999999999998,44.0,19.400000000000002,3,16,19
1973,2011-03-28,2,0,3,0,0,1,1,1,22.0,22.73,55.00000000000001,19.400000000000002,1,11,12
1974,2011-03-28,2,0,3,1,0,1,1,1,22.0,22.73,44.0,19.400000000000002,2,4,6
1975,2011-03-28,2,0,3,2,0,1,1,1,22.0,22.73,44.0,16.42,0,5,5
1976,2011-03-28,2,0,3,3,0,1,1,1,22.0,22.73,44.0,16.42,0,2,2
1977,2011-03-28,2,0,3,5,0,1,1,1,18.0,18.18,43.0,19.400000000000002,0,8,8
1978,2011-03-28,2,0,3,6,0,1,1,1,18.0,16.669999999999998,34.0,28.360000000000003,0,40,40
1979,2011-03-28,2,0,3,7,0,1,1,1,20.0,18.18,32.0,32.84,6,104,110
1980,2011-03-28,2,0,3,8,0,1,1,1,20.0,19.7,34.0,22.39,15,239,254
1981,2011-03-28,2,0,3,9,0,1,1,2,22.0,21.21,32.0,22.39,12,109,121
1982,2011-03-28,2,0,3,10,0,1,1,1,24.0,22.73,30.0,19.400000000000002,22,47,69
1983,2011-03-28,2,0,3,11,0,1,1,2,26.0,24.240000000000002,30.0,28.360000000000003,18,39,57
1984,2011-03-28,2,0,3,12,0,1,1,2,26.0,27.27,25.0,0.0,8,71,79
1985,2011-03-28,2,0,3,13,0,1,1,2,30.0,28.79,24.0,22.39,14,69,83
1986,2011-03-28,2,0,3,14,0,1,1,1,32.0,30.3,22.0,22.39,15,65,80
1987,2011-03-28,2,0,3,15,0,1,1,1,32.0,30.3,24.0,28.360000000000003,19,53,72
1988,2011-03-28,2,0,3,16,0,1,1,1,34.0,31.819999999999997,23.0,22.39,15,117,132
1989,2011-03-28,2,0,3,17,0,1,1,1,34.0,30.3,23.0,29.849999999999998,25,227,252
1990,2011-03-28,2,0,3,18,0,1,1,1,32.0,30.3,21.0,28.360000000000003,21,220,241
1991,2011-03-28,2,0,3,19,0,1,1,1,30.0,30.3,22.0,13.43,17,156,173
1992,2011-03-28,2,0,3,20,0,1,1,1,32.0,33.33,22.0,10.45,5,107,112
1993,2011-03-28,2,0,3,21,0,1,1,1,32.0,33.33,21.0,13.43,6,55,61
1994,2011-03-28,2,0,3,22,0,1,1,1,30.0,28.79,22.0,22.39,0,40,40
1995,2011-03-28,2,0,3,23,0,1,1,1,28.000000000000004,25.759999999999998,24.0,29.849999999999998,1,18,19
1996,2011-03-29,2,0,3,0,0,2,1,1,26.0,22.73,28.000000000000004,32.84,1,15,16
1997,2011-03-29,2,0,3,1,0,2,1,1,24.0,21.21,32.0,29.849999999999998,0,4,4
1998,2011-03-29,2,0,3,2,0,2,1,1,24.0,21.21,32.0,29.849999999999998,0,3,3
1999,2011-03-29,2,0,3,3,0,2,1,1,24.0,21.21,32.0,29.849999999999998,2,1,3
2000,2011-03-29,2,0,3,4,0,2,1,1,20.0,21.21,44.0,16.42,1,1,2
2001,2011-03-29,2,0,3,5,0,2,1,1,22.0,21.21,37.0,25.369999999999997,0,8,8
2002,2011-03-29,2,0,3,6,0,2,1,1,22.0,21.21,41.0,29.849999999999998,4,46,50
2003,2011-03-29,2,0,3,7,0,2,1,1,22.0,19.7,41.0,35.82,5,128,133
2004,2011-03-29,2,0,3,8,0,2,1,1,24.0,21.21,35.0,35.82,19,268,287
2005,2011-03-29,2,0,3,9,0,2,1,1,28.000000000000004,25.759999999999998,28.000000000000004,38.81,16,156,172
2006,2011-03-29,2,0,3,10,0,2,1,1,30.0,27.27,24.0,29.849999999999998,13,46,59
2007,2011-03-29,2,0,3,11,0,2,1,2,34.0,30.3,25.0,38.81,18,63,81
2008,2011-03-29,2,0,3,12,0,2,1,1,34.0,33.33,25.0,16.42,29,77,106
2009,2011-03-29,2,0,3,13,0,2,1,1,34.0,30.3,25.0,29.849999999999998,24,80,104
2010,2011-03-29,2,0,3,14,0,2,1,1,36.0,33.33,25.0,25.369999999999997,20,66,86
2011,2011-03-29,2,0,3,15,0,2,1,1,38.0,39.39,25.0,22.39,22,65,87
2012,2011-03-29,2,0,3,16,0,2,1,1,38.0,39.39,22.0,16.42,12,124,136
2013,2011-03-29,2,0,3,17,0,2,1,1,40.0,40.910000000000004,20.0,13.43,34,265,299
2014,2011-03-29,2,0,3,18,0,2,1,1,36.0,36.36,21.0,8.959999999999999,42,252,294
2015,2011-03-29,2,0,3,19,0,2,1,1,34.0,33.33,23.0,19.400000000000002,20,170,190
2016,2011-03-29,2,0,3,20,0,2,1,1,36.0,36.36,21.0,8.959999999999999,13,119,132
2017,2011-03-29,2,0,3,21,0,2,1,1,34.0,36.36,42.0,0.0,8,75,83
2018,2011-03-29,2,0,3,22,0,2,1,1,34.0,36.36,49.0,0.0,6,49,55
2019,2011-03-29,2,0,3,23,0,2,1,2,32.0,33.33,56.99999999999999,10.45,8,27,35
2020,2011-03-30,2,0,3,0,0,3,1,2,32.0,34.849999999999994,56.99999999999999,0.0,3,8,11
2021,2011-03-30,2,0,3,1,0,3,1,1,32.0,34.849999999999994,39.0,0.0,1,9,10
2022,2011-03-30,2,0,3,2,0,3,1,2,32.0,34.849999999999994,56.99999999999999,0.0,0,4,4
2023,2011-03-30,2,0,3,3,0,3,1,2,32.0,34.849999999999994,49.0,0.0,0,4,4
2024,2011-03-30,2,0,3,4,0,3,1,2,32.0,34.849999999999994,56.99999999999999,0.0,1,0,1
2025,2011-03-30,2,0,3,5,0,3,1,2,30.0,28.79,56.00000000000001,19.400000000000002,0,7,7
2026,2011-03-30,2,0,3,6,0,3,1,2,30.0,30.3,49.0,13.43,4,44,48
2027,2011-03-30,2,0,3,7,0,3,1,2,32.0,33.33,45.0,10.45,8,128,136
2028,2011-03-30,2,0,3,8,0,3,1,2,32.0,31.819999999999997,49.0,16.42,16,247,263
2029,2011-03-30,2,0,3,9,0,3,1,2,32.0,30.3,45.0,22.39,7,147,154
2030,2011-03-30,2,0,3,10,0,3,1,2,34.0,31.819999999999997,46.0,22.39,13,51,64
2031,2011-03-30,2,0,3,11,0,3,1,2,34.0,31.819999999999997,46.0,25.369999999999997,26,64,90
2032,2011-03-30,2,0,3,12,0,3,1,2,34.0,33.33,46.0,16.42,15,65,80
2033,2011-03-30,2,0,3,13,0,3,1,2,36.0,34.849999999999994,46.0,22.39,14,84,98
2034,2011-03-30,2,0,3,14,0,3,1,2,36.0,33.33,46.0,29.849999999999998,16,64,80
2035,2011-03-30,2,0,3,15,0,3,1,3,28.000000000000004,25.759999999999998,81.0,29.849999999999998,14,56,70
2036,2011-03-30,2,0,3,16,0,3,1,3,28.000000000000004,27.27,87.0,25.369999999999997,0,36,36
2037,2011-03-30,2,0,3,17,0,3,1,3,26.0,27.27,93.0,10.45,11,105,116
2038,2011-03-30,2,0,3,18,0,3,1,2,26.0,25.759999999999998,93.0,22.39,6,79,85
2039,2011-03-30,2,0,3,19,0,3,1,2,26.0,25.759999999999998,93.0,22.39,5,67,72
2040,2011-03-30,2,0,3,20,0,3,1,3,24.0,21.21,93.0,29.849999999999998,4,40,44
2041,2011-03-30,2,0,3,21,0,3,1,2,24.0,22.73,93.0,25.369999999999997,0,27,27
2042,2011-03-30,2,0,3,22,0,3,1,3,24.0,22.73,93.0,22.39,3,21,24
2043,2011-03-30,2,0,3,23,0,3,1,3,24.0,21.21,93.0,28.360000000000003,1,11,12
2044,2011-03-31,2,0,3,0,0,4,1,3,24.0,22.73,93.0,22.39,0,3,3
2045,2011-03-31,2,0,3,1,0,4,1,3,24.0,22.73,93.0,19.400000000000002,1,4,5
2046,2011-03-31,2,0,3,2,0,4,1,3,24.0,22.73,93.0,19.400000000000002,0,5,5
2047,2011-03-31,2,0,3,3,0,4,1,3,24.0,22.73,93.0,22.39,0,1,1
2048,2011-03-31,2,0,3,4,0,4,1,3,24.0,22.73,93.0,25.369999999999997,0,2,2
2049,2011-03-31,2,0,3,5,0,4,1,3,24.0,22.73,93.0,22.39,0,8,8
2050,2011-03-31,2,0,3,6,0,4,1,3,24.0,21.21,93.0,29.849999999999998,2,34,36
2051,2011-03-31,2,0,3,7,0,4,1,3,24.0,22.73,93.0,25.369999999999997,5,87,92
2052,2011-03-31,2,0,3,8,0,4,1,2,24.0,22.73,100.0,25.369999999999997,7,185,192
2053,2011-03-31,2,0,3,9,0,4,1,3,26.0,24.240000000000002,93.0,25.369999999999997,6,126,132
2054,2011-03-31,2,0,3,10,0,4,1,3,26.0,24.240000000000002,93.0,25.369999999999997,15,54,69
2055,2011-03-31,2,0,3,11,0,4,1,3,28.000000000000004,27.27,93.0,19.400000000000002,6,52,58
2056,2011-03-31,2,0,3,12,0,4,1,3,28.000000000000004,27.27,93.0,19.400000000000002,17,73,90
2057,2011-03-31,2,0,3,13,0,4,1,3,30.0,30.3,87.0,13.43,13,55,68
2058,2011-03-31,2,0,3,14,0,4,1,3,30.0,30.3,87.0,13.43,27,49,76
2059,2011-03-31,2,0,3,15,0,4,1,3,30.0,27.27,87.0,29.849999999999998,4,61,65
2060,2011-03-31,2,0,3,16,0,4,1,2,30.0,28.79,87.0,25.369999999999997,13,72,85
2061,2011-03-31,2,0,3,17,0,4,1,2,30.0,28.79,87.0,25.369999999999997,15,153,168
2062,2011-03-31,2,0,3,18,0,4,1,2,30.0,30.3,87.0,13.43,12,165,177
2063,2011-03-31,2,0,3,19,0,4,1,2,30.0,30.3,87.0,13.43,12,118,130
2064,2011-03-31,2,0,3,20,0,4,1,3,28.000000000000004,25.759999999999998,93.0,28.360000000000003,6,79,85
2065,2011-03-31,2,0,3,21,0,4,1,2,28.000000000000004,27.27,93.0,16.42,7,53,60
2066,2011-03-31,2,0,3,22,0,4,1,3,28.000000000000004,27.27,93.0,25.369999999999997,7,44,51
2067,2011-03-31,2,0,3,23,0,4,1,3,26.0,25.759999999999998,100.0,16.42,4,23,27
2068,2011-04-01,2,0,4,0,0,5,1,3,26.0,25.759999999999998,100.0,16.42,0,6,6
2069,2011-04-01,2,0,4,1,0,5,1,3,26.0,25.759999999999998,100.0,16.42,0,4,4
2070,2011-04-01,2,0,4,2,0,5,1,3,26.0,25.759999999999998,93.0,19.400000000000002,0,7,7
2071,2011-04-01,2,0,4,3,0,5,1,2,24.0,22.73,93.0,25.369999999999997,0,4,4
2072,2011-04-01,2,0,4,4,0,5,1,2,24.0,22.73,93.0,25.369999999999997,0,3,3
2073,2011-04-01,2,0,4,5,0,5,1,3,24.0,22.73,93.0,22.39,1,11,12
2074,2011-04-01,2,0,4,6,0,5,1,3,24.0,22.73,93.0,22.39,2,26,28
2075,2011-04-01,2,0,4,7,0,5,1,3,24.0,24.240000000000002,93.0,0.0,4,91,95
2076,2011-04-01,2,0,4,8,0,5,1,2,26.0,24.240000000000002,87.0,25.369999999999997,8,198,206
